element	category	rate	count	positive	flag	prob	rate_lower	rate_upper	scoring_rate	scoring_delta_rate
Cleanliness_q	(1.0, 2.0]	0.21496598639455783	8085	1738.0	-1	0.0	0.1971911842329751	0.23274078855614055	0.21496598639455783	-0.21837632958942738
Cleanliness_q	(2.0, 3.0]	0.43049800958648143	12309	5299.0	0	0.2651753418031592	0.41313450092714227	0.4478615182458206	0.4333423159839852	0.0
Cleanliness_q	(3.0, inf]	0.5677793324005597	25015	14203.0	1	0.0	0.555593422072651	0.5799652427284683	0.5677793324005597	0.13443701641657446
Customer Type	Loyal Customer	0.4761176830272101	42521	20245.0	1	0.0	0.46669470957641823	0.48554065647800193	0.4761176830272101	0.04277536704322488
Customer Type	disloyal Customer	0.24048351182271233	9431	2268.0	-1	0.0	0.223361765422941	0.25760525822248365	0.24048351182271233	-0.19285880416127288
Departure Delay in Minutes_q	(-inf, 2.0]	0.4551681000781861	31975	14554.0	1	1.7763568394002505e-15	0.44433313358273974	0.46600306657363244	0.4551681000781861	0.021825784094200884
Departure Delay in Minutes_q	(2.0, 17.0]	0.4343832020997375	9144	3972.0	0	0.41610861063138793	0.4142160195858082	0.4545503846136668	0.4333423159839852	0.0
Departure Delay in Minutes_q	(17.0, 25.0]	0.39410526315789474	2375	936.0	0	5.840105035495365e-05	0.35509412894949105	0.4331163973662984	0.4333423159839852	0.0
Departure Delay in Minutes_q	(25.0, inf]	0.36072357531331284	8458	3051.0	-1	2.5958099527546332e-42	0.34040873353629336	0.3810384170903323	0.36072357531331284	-0.07261874067067237
Departure/Arrival time convenient_q	(-inf, 1.0]	0.4835986955687704	10426	5042.0	1	0.0	0.4645575513615934	0.5026398397759474	0.4835986955687704	0.05025637958478518
Departure/Arrival time convenient_q	(1.0, 3.0]	0.44563412539364444	17465	7783.0	0	0.00051429346012688	0.43100161483463706	0.4602666359526518	0.4333423159839852	0.0
Departure/Arrival time convenient_q	(3.0, 4.0]	0.3812004353910745	12862	4903.0	-1	1.9495555794247782e-33	0.36453897297247095	0.39786189780967807	0.3812004353910745	-0.052141880592910694
Departure/Arrival time convenient_q	(4.0, inf]	0.42727029199035627	11199	4785.0	0	0.09896464218243008	0.40908366084663145	0.4454569231340811	0.4333423159839852	0.0
Ease of Online booking_q	(-inf, 0.0]	0.6614137775776677	2221	1469.0	1	0.0	0.6223465441795073	0.7004810109758282	0.6614137775776677	0.22807146159368252
Ease of Online booking_q	(0.0, 3.0]	0.3247371132458559	32999	10716.0	-1	0.0	0.31470788094987184	0.33476634554184	0.3247371132458559	-0.10860520273812929
Ease of Online booking_q	(3.0, 4.0]	0.5307102708226877	9785	5193.0	1	0.0	0.5110818874080022	0.5503386542373733	0.5307102708226877	0.09736795483870253
Ease of Online booking_q	(4.0, inf]	0.7391679861810854	6947	5135.0	1	0.0	0.7186719891690473	0.7596639831931234	0.7391679861810854	0.30582567019710016
Flight Distance_q	(-inf, 1324.0]	0.33043628908844164	34633	11444.0	-1	0.0	0.32060273655412425	0.34026984162275903	0.33043628908844164	-0.10290602689554357
Flight Distance_q	(1324.0, 1493.0]	0.463302752293578	1526	707.0	0	0.008588145478409581	0.4136394568481243	0.5129660477390316	0.4333423159839852	0.0
Flight Distance_q	(1493.0, 2707.0]	0.597924274457044	10406	6222.0	1	0.0	0.5792238792116592	0.6166246697024288	0.597924274457044	0.1645819584730588
Flight Distance_q	(2707.0, inf]	0.7685167997029887	5387	4140.0	1	0.0	0.7461590231855316	0.7908745762204458	0.7685167997029887	0.3351744837190035
Food and drink_q	(-inf, 1.0]	0.202803738317757	6420	1302.0	-1	0.0	0.1832797397308762	0.2223277369046378	0.202803738317757	-0.2305385776662282
Food and drink_q	(1.0, 3.0]	0.39217277604941614	22179	8698.0	-1	1.0238162847515992e-35	0.37941798079841854	0.40492757130041374	0.39217277604941614	-0.041169539934569066
Food and drink_q	(3.0, 4.0]	0.5235053235053235	12210	6392.0	1	0.0	0.5059201190328632	0.5410905279777839	0.5235053235053235	0.09016300752133832
Food and drink_q	(4.0, inf]	0.5493134703401239	11143	6121.0	1	0.0	0.5309750457002186	0.5676518949800292	0.5493134703401239	0.1159711543561387
Gate location_q	(-inf, 2.0]	0.47785459652155127	18514	8847.0	1	0.0	0.4635719344593182	0.4921372585837843	0.47785459652155127	0.04451228053756606
Gate location_q	(2.0, 4.0]	0.3660710913005704	26473	9691.0	-1	5.2396789747509284e-110	0.35455202992038354	0.3775901526807573	0.3660710913005704	-0.06727122468341479
Gate location_q	(4.0, inf]	0.5707106963388371	6965	3975.0	1	0.0	0.5476358851387526	0.5937855075389216	0.5707106963388371	0.13736838035485188
Gender	Female	0.42728063211220746	26451	11302.0	0	0.02362240275122632	0.41544688817098413	0.4391143760534308	0.4333423159839852	0.0
Gender	Male	0.4396298184384926	25501	11211.0	0	0.021094314329816566	0.42753726123289776	0.4517223756440874	0.4333423159839852	0.0
Inflight entertainment_q	(-inf, 1.0]	0.1389654613264148	6167	857.0	-1	0.0	0.12182816029215879	0.1561027623606708	0.1389654613264148	-0.2943768546575704
Inflight entertainment_q	(1.0, 3.0]	0.24239301404783858	18437	4469.0	-1	0.0	0.23011430852971423	0.2546717195659629	0.24239301404783858	-0.19094930193614662
Inflight entertainment_q	(3.0, 4.0]	0.6100203114421124	14770	9010.0	1	0.0	0.5944061533950283	0.6256344694891965	0.6100203114421124	0.17667799545812723
Inflight entertainment_q	(4.0, inf]	0.6501033550643982	12578	8177.0	1	0.0	0.6335581949512721	0.6666485151775243	0.6501033550643982	0.216761039080413
Inflight service_q	(-inf, 2.0]	0.30339989206691853	9265	2811.0	-1	6.668239362432336e-146	0.28481789254281986	0.3219818915910172	0.30339989206691853	-0.12994242391706667
Inflight service_q	(2.0, 3.0]	0.2373548514072033	10162	2412.0	-1	0.0	0.2209343507739574	0.2537753520404492	0.2373548514072033	-0.1959874645767819
Inflight service_q	(3.0, 4.0]	0.4759347024749868	18990	9038.0	1	0.0	0.461834687242612	0.4900347177073616	0.4759347024749868	0.04259238649100161
Inflight service_q	(4.0, inf]	0.6096786110084965	13535	8252.0	1	0.0	0.5933650714050231	0.6259921506119699	0.6096786110084965	0.1763362950245113
Inflight wifi service_q	(-inf, 0.0]	0.9973770491803279	1525	1521.0	1	0.0	0.9922813296779242	1.0	0.9973770491803279	0.5640347331963427
Inflight wifi service_q	(0.0, 4.0]	0.34198794775868635	44639	15266.0	-1	0.0	0.3332525884591137	0.350723307058259	0.34198794775868635	-0.09135436822529885
Inflight wifi service_q	(4.0, inf]	0.9892881824464409	5788	5726.0	1	0.0	0.9840238366396081	0.9945525282532737	0.9892881824464409	0.5559458664624557
Leg room service_q	(-inf, 1.0]	0.2136067101584343	5365	1146.0	-1	8.703137150448434e-251	0.19183672370407084	0.23537669661279775	0.2136067101584343	-0.2197356058255509
Leg room service_q	(1.0, 3.0]	0.272212389380531	19775	5383.0	-1	0.0	0.25989797669969267	0.2845268020613693	0.272212389380531	-0.1611299266034542
Leg room service_q	(3.0, 4.0]	0.5820500313566999	14351	8353.0	1	0.0	0.5660317137117609	0.5980683490016389	0.5820500313566999	0.14870771537271466
Leg room service_q	(4.0, inf]	0.6123906588556296	12461	7631.0	1	0.0	0.5954101529612753	0.6293711647499839	0.6123906588556296	0.1790483428716444
On-board service_q	(-inf, 2.0]	0.22786614645858344	13328	3037.0	-1	0.0	0.21373037920955715	0.24200191370760973	0.22786614645858344	-0.20547616952540176
On-board service_q	(2.0, 3.0]	0.3131741821396994	11310	3542.0	-1	1.1338060643557459e-151	0.2962073541781138	0.330141010101285	0.3131741821396994	-0.12016813384428582
On-board service_q	(3.0, 4.0]	0.5353953668953022	15454	8274.0	1	0.0	0.5197863951203531	0.5510043386702513	0.5353953668953022	0.102053050911317
On-board service_q	(4.0, inf]	0.6458684654300169	11860	7660.0	1	0.0	0.6287829661984007	0.662953964661633	0.6458684654300169	0.21252614944603165
Online boarding_q	(-inf, 0.0]	0.5522633744855967	1215	671.0	1	0.0	0.49676094805982196	0.6077658009113714	0.5522633744855967	0.1189210585016115
Online boarding_q	(0.0, 3.0]	0.12949293966623876	24928	3228.0	-1	0.0	0.12121959432602857	0.13776628500644894	0.12949293966623876	-0.30384937631774644
Online boarding_q	(3.0, 4.0]	0.6209677419354839	15376	9548.0	1	0.0	0.6057459213766166	0.6361895624943511	0.6209677419354839	0.18762542595149867
Online boarding_q	(4.0, inf]	0.8689734496309787	10433	9066.0	1	0.0	0.8561207611812154	0.881826138080742	0.8689734496309787	0.43563113364699346
Seat comfort_q	(-inf, 2.0]	0.22417240613197068	13503	3027.0	-1	0.0	0.21020955104829112	0.23813526121565023	0.22417240613197068	-0.20916990985201453
Seat comfort_q	(2.0, 3.0]	0.21303554171588102	9313	1984.0	-1	0.0	0.19652830165835347	0.22954278177340856	0.21303554171588102	-0.2203067742681042
Seat comfort_q	(3.0, 4.0]	0.5615181601105944	15914	8936.0	1	0.0	0.5462149088537629	0.5768214113674259	0.5615181601105944	0.1281758441266092
Seat comfort_q	(4.0, inf]	0.6478596278929057	13222	8566.0	1	0.0	0.6316987306682206	0.6640205251175909	0.6478596278929057	0.21451731190892054
Type of Travel	Business travel	0.5842938675022381	35744	20885.0	1	0.0	0.5741518821082714	0.5944358528962048	0.5842938675022381	0.1509515515182529
Type of Travel	Personal Travel	0.10044422507403751	16208	1628.0	-1	0.0	0.09125820273958808	0.10963024740848694	0.10044422507403751	-0.3328980909099477
id_q	(-inf, 49783.0]	0.4297047599919663	19916	8558.0	0	0.15178455971102786	0.4160573709004028	0.44335214908352977	0.4333423159839852	0.0
id_q	(49783.0, 53646.0]	0.3329073482428115	1565	521.0	-1	2.8808651220172582e-16	0.2865612396461682	0.3792534568394548	0.3329073482428115	-0.10043496774117372
id_q	(53646.0, 94634.0]	0.452197167689783	16453	7440.0	1	5.276947612209426e-07	0.43710091406770063	0.4672934213118654	0.452197167689783	0.018854851705797815
id_q	(94634.0, inf]	0.4275930945926666	14018	5994.0	0	0.08605383442416363	0.41133609396116483	0.44385009522416835	0.4333423159839852	0.0
row_id_q	(-inf, 63793.0]	0.4329758293987055	31981	13847.0	0	0.4497192668103491	0.4221962387375674	0.4437554200598436	0.4333423159839852	0.0
row_id_q	(63793.0, 77326.0]	0.4509658246656761	6730	3035.0	0	0.0017165757782063862	0.42736758272050673	0.47456406661084544	0.4333423159839852	0.0
row_id_q	(77326.0, 101122.0]	0.42193808882907136	11888	5016.0	0	0.006170234998473496	0.40431537367792564	0.4395608039802171	0.4333423159839852	0.0
row_id_q	(101122.0, inf]	0.45454545454545453	1353	615.0	0	0.054846457533738735	0.40187892267807074	0.5072119864128384	0.4333423159839852	0.0
