element	category	rate	count	positive	flag	prob	rate_lower	rate_upper	scoring_rate	scoring_delta_rate
edu	 Assoc-voc	0.28304597701149425	696	197.0	0	0.004529993382202502	0.21661277228495135	0.34947918173803716	0.24078624078624078	0.0
edu	 Bachelors	0.4067671938212578	2719	1106.0	1	0.0	0.3701152837292261	0.44341910391328954	0.4067671938212578	0.16598095303501703
edu	 Doctorate	0.7093596059113301	203	144.0	1	0.0	0.5853718294146464	0.8333473824080138	0.7093596059113301	0.4685733651250893
edu	 HS-grad	0.15909530253237966	5173	823.0	-1	4.242005073765546e-47	0.13930982643098735	0.17888077863377197	0.15909530253237966	-0.08169093825386112
edu	 Masters	0.5564705882352942	850	473.0	1	0.0	0.4901744038575813	0.6227667726130071	0.5564705882352942	0.3156843474490534
edu	 Preschool	0.0	24	0.0	0	0.5	0.0	0.0	0.24078624078624078	0.0
edu	 Prof-school	0.7307692307692307	286	209.0	1	0.0	0.6287257809085053	0.8328126806299562	0.7307692307692307	0.48998298998298995
edu	 Some-college	0.1942919868276619	3644	708.0	-1	1.0371483924843467e-11	0.1687918342630484	0.21979213939227543	0.1942919868276619	-0.04649425395857887
edun_q	(-inf, 8.0]	0.05350553505535055	2168	116.0	-1	8.977030665036067e-123	0.03470178660181743	0.07230928350888367	0.05350553505535055	-0.18728070573089023
edun_q	(8.0, 12.0]	0.18619454943306146	10054	1872.0	-1	7.213190012098351e-40	0.17109061765903882	0.2012984812070841	0.18619454943306146	-0.05459169135317932
edun_q	(12.0, 13.0]	0.4067671938212578	2719	1106.0	1	0.0	0.3701152837292261	0.44341910391328954	0.4067671938212578	0.16598095303501703
edun_q	(13.0, inf]	0.6168782673637042	1339	826.0	1	0.0	0.5651898163590506	0.6685667183683578	0.6168782673637042	0.37609202657746343
fnlw_q	(-inf, 72333.0]	0.21265963353692394	1801	383.0	0	0.002571543794040816	0.1751465633225527	0.2501727037512952	0.24078624078624078	0.0
fnlw_q	(72333.0, 226947.0]	0.25496922611240036	9911	2527.0	0	0.0004929984371233598	0.2379363523566935	0.27200209986810725	0.24078624078624078	0.0
fnlw_q	(226947.0, 317153.0]	0.20501474926253688	2712	556.0	-1	5.183537477055409e-06	0.17485394466329765	0.2351755538617761	0.20501474926253688	-0.0357714915237039
fnlw_q	(317153.0, inf]	0.24461206896551724	1856	454.0	0	0.33851812397170455	0.2057925050674883	0.28343163286354617	0.24078624078624078	0.0
hours_q	(-inf, 33.0]	0.07233733187931661	2751	199.0	-1	2.698025430331706e-120	0.05312205421827139	0.09155260954036183	0.07233733187931661	-0.16844890890692416
hours_q	(33.0, 41.0]	0.20288362512873326	8739	1773.0	-1	1.678284528882647e-17	0.18614695060238431	0.2196202996550822	0.20288362512873326	-0.03790261565750752
hours_q	(41.0, 49.0]	0.356717405691595	1511	539.0	1	0.0	0.3087720554713562	0.40466275591183376	0.356717405691595	0.11593116490535421
hours_q	(49.0, inf]	0.4297041781030802	3279	1409.0	1	0.0	0.3960700749664695	0.4633382812396909	0.4297041781030802	0.18891793731683942
marit	 Divorced	0.11463187325256291	2146	246.0	-1	1.2797083057414162e-49	0.08787622644469512	0.1413875200604307	0.11463187325256291	-0.12615436753367787
marit	 Married-AF-spouse	0.4166666666666667	12	5.0	0	0.5	0.0	0.9703708820905119	0.24078624078624078	0.0
marit	 Married-civ-spouse	0.4407790143084261	7548	3327.0	1	0.0	0.41854581731297485	0.4630122113038773	0.4407790143084261	0.1999927735221853
marit	 Married-spouse-absent	0.09090909090909091	209	19.0	-1	2.0426229222302597e-08	0.013543143437125163	0.16827503838105667	0.09090909090909091	-0.14987714987714987
marit	 Never-married	0.046907120164455245	5351	251.0	-1	0.0	0.03566145368760438	0.05815278664130611	0.046907120164455245	-0.19387912062178553
marit	 Separated	0.06319702602230483	538	34.0	-1	4.960227832578856e-28	0.022384169727924466	0.10400988231668519	0.06319702602230483	-0.17758921476393597
marit	 Widowed	0.07983193277310924	476	38.0	-1	4.0718985496248395e-20	0.03150000684341625	0.12816385870280222	0.07983193277310924	-0.16095430801313154
nativ	 ?	0.2611683848797251	291	76.0	0	0.18822268612999016	0.1609834963322433	0.3613532734272069	0.24078624078624078	0.0
nativ	 Cambodia	0.25	8	2.0	0	0.5	0.0	0.8456228074452705	0.24078624078624078	0.0
nativ	 Canada	0.3333333333333333	66	22.0	0	0.032139926306040456	0.10757829471098396	0.5590883719556827	0.24078624078624078	0.0
nativ	 China	0.3125	32	10.0	0	0.5	0.0	0.6312880621163324	0.24078624078624078	0.0
nativ	 Columbia	0.05714285714285714	35	2.0	0	0.0046748236205260574	0.0	0.2097889097452541	0.24078624078624078	0.0
nativ	 Cuba	0.2830188679245283	53	15.0	0	0.1876860001708327	0.042283832398515436	0.5237539034505412	0.24078624078624078	0.0
nativ	 Dominican-Republic	0.0	33	0.0	0	0.5	0.0	0.0	0.24078624078624078	0.0
nativ	 Ecuador	0.11764705882352941	17	2.0	0	0.5	0.0	0.4216675960149079	0.24078624078624078	0.0
nativ	 El-Salvador	0.06896551724137931	58	4.0	0	0.0006287950685126761	0.0	0.19841507229053554	0.24078624078624078	0.0
nativ	 England	0.3541666666666667	48	17.0	0	0.026291185167869657	0.08559565919654377	0.6227376741367896	0.24078624078624078	0.0
nativ	 France	0.4	20	8.0	0	0.5	0.0	0.8261929876470058	0.24078624078624078	0.0
nativ	 Germany	0.3114754098360656	61	19.0	0	0.07802873793111798	0.08078880891509913	0.5421620107570321	0.24078624078624078	0.0
nativ	 Greece	0.38461538461538464	13	5.0	0	0.5	0.0	0.9095807405891487	0.24078624078624078	0.0
nativ	 Guatemala	0.03125	32	1.0	0	0.5	0.0	0.1509162154225905	0.24078624078624078	0.0
nativ	 Haiti	0.09090909090909091	22	2.0	0	0.5	0.0	0.3293669558836649	0.24078624078624078	0.0
nativ	 Holand-Netherlands	0.0	1	0.0	0	0.5	0.0	0.0	0.24078624078624078	0.0
nativ	 Honduras	0.14285714285714285	7	1.0	0	0.5	0.0	0.6574268812076072	0.24078624078624078	0.0
nativ	 Hong	0.18181818181818182	11	2.0	0	0.5	0.0	0.6342601693985077	0.24078624078624078	0.0
nativ	 Hungary	0.25	8	2.0	0	0.5	0.0	0.8456228074452705	0.24078624078624078	0.0
nativ	 India	0.3125	48	15.0	0	0.09455289316685578	0.052210637241439095	0.572789362758561	0.24078624078624078	0.0
nativ	 Iran	0.34615384615384615	26	9.0	0	0.5	0.0	0.709149453999249	0.24078624078624078	0.0
nativ	 Ireland	0.2222222222222222	9	2.0	0	0.5	0.0	0.7613800692859376	0.24078624078624078	0.0
nativ	 Italy	0.2727272727272727	33	9.0	0	0.5	0.0	0.57435526444749	0.24078624078624078	0.0
nativ	 Jamaica	0.16666666666666666	30	5.0	0	0.5	0.0	0.43138791442012026	0.24078624078624078	0.0
nativ	 Japan	0.34210526315789475	38	13.0	0	0.05399961579100554	0.042684465956528805	0.6415260603592607	0.24078624078624078	0.0
nativ	 Laos	0.2	10	2.0	0	0.5	0.0	0.6921252722894593	0.24078624078624078	0.0
nativ	 Mexico	0.05232558139534884	344	18.0	-1	4.0267215323645394e-21	0.0056141618575546795	0.099037000933143	0.05232558139534884	-0.18846065939089193
nativ	 Nicaragua	0.0	22	0.0	0	0.5	0.0	0.0	0.24078624078624078	0.0
nativ	 Outlying-US(Guam-USVI-etc)	0.0	10	0.0	0	0.5	0.0	0.0	0.24078624078624078	0.0
nativ	 Peru	0.058823529411764705	17	1.0	0	0.5	0.0	0.2808487376311731	0.24078624078624078	0.0
nativ	 Philippines	0.3225806451612903	93	30.0	0	0.027642599785297817	0.13398912725067888	0.5111721630719017	0.24078624078624078	0.0
nativ	 Poland	0.125	32	4.0	0	0.5	0.0	0.35245721673000496	0.24078624078624078	0.0
nativ	 Portugal	0.09090909090909091	22	2.0	0	0.5	0.0	0.3293669558836649	0.24078624078624078	0.0
nativ	 Puerto-Rico	0.13432835820895522	67	9.0	0	0.02391021311791012	0.0	0.29641182761430873	0.24078624078624078	0.0
nativ	 Scotland	0.25	8	2.0	0	0.5	0.0	0.8456228074452705	0.24078624078624078	0.0
nativ	 South	0.22916666666666666	48	11.0	0	0.5040258662872069	0.0	0.46518787275320717	0.24078624078624078	0.0
nativ	 Taiwan	0.3333333333333333	18	6.0	0	0.5	0.0	0.7656213207125661	0.24078624078624078	0.0
nativ	 Thailand	0.1	10	1.0	0	0.5	0.0	0.46909395421709443	0.24078624078624078	0.0
nativ	 Trinadad&Tobago	0.0	5	0.0	0	0.5	0.0	0.0	0.24078624078624078	0.0
nativ	 United-States	0.2470061940812113	14530	3589.0	0	0.03922209094996498	0.23308641016682605	0.2609259779955965	0.24078624078624078	0.0
nativ	 Vietnam	0.02564102564102564	39	1.0	0	0.00028859941958973303	0.0	0.12411252814095514	0.24078624078624078	0.0
nativ	 Yugoslavia	0.2	5	1.0	0	0.5	0.0	0.8959702344583056	0.24078624078624078	0.0
occ	 ?	0.10140237324703344	927	94.0	-1	1.427583795702702e-27	0.06282945444527561	0.13997529204879128	0.10140237324703344	-0.13938386753920734
occ	 Adm-clerical	0.13592750533049042	1876	255.0	-1	9.325789513847451e-30	0.10514329459658221	0.16671171606439864	0.13592750533049042	-0.10485873545575036
occ	 Armed-Forces	0.5	2	1.0	0	0.5	0.0	1.0	0.24078624078624078	0.0
occ	 Craft-repair	0.22446965959546128	2027	455.0	0	0.044482750264695066	0.18841453315570722	0.26052478603521534	0.24078624078624078	0.0
occ	 Exec-managerial	0.4904645476772616	2045	1003.0	1	0.0	0.44745547941194563	0.5334736159425776	0.4904645476772616	0.24967830689102083
occ	 Farming-fishing	0.10294117647058823	476	49.0	-1	1.3005870733754803e-14	0.04875141676625255	0.1571309361749239	0.10294117647058823	-0.13784506431565255
occ	 Handlers-cleaners	0.061313868613138686	685	42.0	-1	3.944196055411381e-36	0.025651519170775135	0.09697621805550224	0.061313868613138686	-0.17947237217310208
occ	 Machine-op-inspct	0.11770726714431934	977	115.0	-1	2.1522442974039994e-22	0.07759507617217407	0.1578194581164646	0.11770726714431934	-0.12307897364192144
occ	 Other-service	0.04014823965410747	1619	65.0	-1	1.1809766659026325e-109	0.021166868154519944	0.059129611153695	0.04014823965410747	-0.20063800113213331
occ	 Priv-house-serv	0.0	74	0.0	-1	1.402623770774565e-09	0.0	0.0	0.0	-0.24078624078624078
occ	 Prof-specialty	0.44932432432432434	2072	931.0	1	0.0	0.40680868512388424	0.49183996352476445	0.44932432432432434	0.20853808353808356
occ	 Protective-serv	0.30914826498422715	317	98.0	0	0.0022623777979561277	0.20816210027756832	0.410134429690886	0.24078624078624078	0.0
occ	 Sales	0.26673866090712745	1852	494.0	0	0.004488942964405163	0.22675638031491543	0.3067209414993395	0.24078624078624078	0.0
occ	 Tech-support	0.30416666666666664	480	146.0	0	0.000638155803699747	0.22247016085585603	0.38586317247747726	0.24078624078624078	0.0
occ	 Transport-moving	0.20211515863689777	851	172.0	0	0.004120880902094945	0.14855764004467675	0.2556726772291188	0.24078624078624078	0.0
race	 Amer-Indian-Eskimo	0.12162162162162163	148	18.0	0	0.00021895836658754282	0.01709400875503675	0.2261492344882065	0.24078624078624078	0.0
race	 Asian-Pac-Islander	0.25147347740667975	509	128.0	0	0.2672104085739262	0.17665541172516322	0.3262915430881963	0.24078624078624078	0.0
race	 Black	0.12459651387992253	1549	193.0	-1	1.2738588107306661e-30	0.09194923046620915	0.1572437972936359	0.12459651387992253	-0.11618972690631825
race	 Other	0.0851063829787234	141	12.0	-1	1.5531585753752322e-06	0.0	0.17653296541292035	0.0851063829787234	-0.15567985780751736
race	 White	0.2561544534558243	13933	3569.0	1	1.1980839532688137e-05	0.24176694150993702	0.27054196540171166	0.2561544534558243	0.015368212669583547
rel	 Husband	0.4432943294329433	6666	2955.0	1	0.0	0.4196219489503225	0.46696670991556405	0.4432943294329433	0.2025080886467025
rel	 Not-in-family	0.1082511426509502	4157	450.0	-1	5.107646939248942e-105	0.08950278671779742	0.126999498584103	0.1082511426509502	-0.13253509813529057
rel	 Other-relative	0.026476578411405296	491	13.0	-1	8.589894076423115e-41	0.0	0.05466553903952666	0.026476578411405296	-0.21430966237483548
rel	 Own-child	0.01520608243297319	2499	38.0	-1	2.3627946057405795e-234	0.00568220280500191	0.02472996206094447	0.01520608243297319	-0.22558015835326758
rel	 Unmarried	0.06334310850439882	1705	108.0	-1	4.590240358870577e-85	0.040392540541905206	0.08629367646689244	0.06334310850439882	-0.17744313228184194
rel	 Wife	0.4671916010498688	762	356.0	1	0.0	0.39687283591109246	0.5375103661886451	0.4671916010498688	0.226405360263628
sex	 Female	0.10774410774410774	5346	576.0	-1	1.3072999414399824e-135	0.09124567554478659	0.12424253994342889	0.10774410774410774	-0.13304213304213303
sex	 Male	0.3058350100603622	10934	3344.0	1	0.0	0.2886914467832559	0.32297857333746843	0.3058350100603622	0.0650487692741214
work	 ?	0.10162162162162162	925	94.0	-1	2.002236662592131e-27	0.06297001806985775	0.1402732251733855	0.10162162162162162	-0.13916461916461914
work	 Federal-gov	0.3971774193548387	496	197.0	1	4.551914400963142e-15	0.31169793980214816	0.4826568989075292	0.3971774193548387	0.1563911785685979
work	 Local-gov	0.29349904397705545	1046	307.0	1	4.0990798027440434e-05	0.23872061699374114	0.34827747096036976	0.29349904397705545	0.05271280319081467
work	 Never-worked	0.0	2	0.0	0	0.5	0.0	0.0	0.24078624078624078	0.0
work	 Private	0.21717260854218143	11332	2461.0	-1	1.4682403099636587e-09	0.2021031404085529	0.23224207667580996	0.21717260854218143	-0.02361363224405935
work	 Self-emp-inc	0.5886792452830188	530	312.0	1	0.0	0.5055205980009396	0.6718378925650981	0.5886792452830188	0.34789300449677807
work	 Self-emp-not-inc	0.29556259904912835	1262	373.0	1	3.6885286547327922e-06	0.2455899996171135	0.3455351984811432	0.29556259904912835	0.05477635826288757
work	 State-gov	0.25920471281296026	679	176.0	0	0.12205173449617057	0.19377856631203516	0.32463085931388536	0.24078624078624078	0.0
work	 Without-pay	0.0	8	0.0	0	0.5	0.0	0.0	0.24078624078624078	0.0
